DEBKGID;NNID;NAME;RS;OBA;KFZ;GEOLA;GEOBR;GKRE;GKHO;UTMRE;UTMHO
DEBKGDL20000E3AL;DEBKGGND00001F0C;Ludwigsburg;08118;AX_KreisRegion (Landkreis);LB  VAI;090723;485624;3509083.556967182;5422526.095305388;509004.6161351029;5420796.521322567
DEBKGDL20000E09A;DEBKGGND00001EGD;Ludwigshafen am Rhein;07314;AX_KreisRegion (Kreisfreie Stadt);LU;082652;492860;3460069.4504813305;5483076.987706161;460010.1425303257;5481323.455608063
DEBKGDL20000QGFP;DEBKGGND00001J79;Ludwigslust-Parchim;13076;AX_KreisRegion (Landkreis);LUP  HGN  LBZ  LWL  PCH  STB;112833;532049;3664933.412856352;5915652.37449154;664796.4535773175;5913723.8917794125
DEBKGDL20000E5Q2;DEBKGGND00001C2Q;Lörrach;08336;AX_KreisRegion (Landkreis);LÖ;074626;474212;3408051.1706615677;5285743.251491234;408012.4146929626;5284068.100541557
DEBKGDL20000DYM9;DEBKGGND00001GHG;Lübeck;01003;AX_KreisRegion (Kreisfreie Stadt);HL;104102;535159;3610843.643902215;5971907.648135925;610729.6044191848;5969957.1946127955
DEBKGDL20000DZUD;DEBKGGND00001A0H;Lüchow-Dannenberg;03354;AX_KreisRegion (Landkreis);DAN;110723;530112;3642532.838788829;5878503.273151267;642404.4369087508;5876590.173354576
DEBKGDL20000DYLA;DEBKGGND00001G02;Lüneburg;03355;AX_KreisRegion (Landkreis);LG;103655;531648;3607815.4349880125;5906555.934846883;607701.6777158972;5904632.0667102905
DEBKGDL20000E3CO;DEBKGGND00001B62;Magdeburg;15003;AX_KreisRegion (Kreisfreie Stadt);MD;113758;520734;3680358.2753061107;5780223.271679357;680213.6240993326;5778349.314521331
DEBKGDL20000DW5F;DEBKGGND00001GXU;Main-Kinzig-Kreis;06435;AX_KreisRegion (Landkreis);MKK  GN  HU  SLÜ;091709;501438;3520459.5474504554;5567582.302807156;520376.67603476916;5565794.819181408
DEBKGDL20000DW77;DEBKGGND00001CN5;Main-Spessart;09677;AX_KreisRegion (Landkreis);MSP;093946;495936;3547592.2603670466;5539887.848292391;547498.4068428614;5538111.178217894
DEBKGDL20000E65D;DEBKGGND00001BBW;Main-Tauber-Kreis;08128;AX_KreisRegion (Landkreis);TBB  MGH;094332;493338;3552575.845938898;5491785.584955931;552479.7691023472;5490028.233026371
DEBKGDL20000DWRL;DEBKGGND00001DWN;Main-Taunus-Kreis;06436;AX_KreisRegion (Landkreis);MTK;082604;500609;3459619.7135653966;5551964.390980392;459560.92804020905;5550183.544447786
DEBKGDL20000E1IM;DEBKGGND000019T6;Mainz;07315;AX_KreisRegion (Kreisfreie Stadt);MZ;081619;500007;3447872.528546581;5540878.91368217;447818.3403509637;5539102.528894479
DEBKGDL20000E1CS;DEBKGGND00001IBE;Mainz-Bingen;07339;AX_KreisRegion (Landkreis);MZ  BIN;080158;495549;3430626.405412515;5533090.067246013;430579.03054490156;5531316.847451819
DEBKGDL20000DZNO;DEBKGGND00001AST;Mannheim;08222;AX_KreisRegion (Stadtkreis);MA;082759;492916;3461404.566917449;5483572.8857830465;461344.7279532398;5481819.152762118
